48001005 οὗ οὗ οὗ
48001005 πίνει πίνει πίνει
48001005 ὁ ὁ ὁ
48001005 βασιλεύς, βασιλεύς βασιλεύς
48001005 καὶ καὶ καί
48001005 ἐκπαιδεῦσαι ἐκπαιδεῦσαι ἐκπαιδεῦσαι
48001005 αὐτοὺς αὐτοὺς αὐτούς
48001005 ἔτη ἔτη ἔτη
48001005 τρία, τρία τρία
48001005 καὶ καὶ καί
48001005 ἐκ ἐκ ἐκ
48001005 τούτων τούτων τούτων
48001005 στῆσαι στῆσαι στῆσαι
48001005 ἔμπροσθεν ἔμπροσθεν ἔμπροσθεν
48001005 τοῦ τοῦ τοῦ
48001005 βασιλέως. βασιλέως βασιλέως
48001006 καὶ καὶ καί
48001006 ἦσαν ἦσαν ἦσαν
48001006 ἐκ ἐκ ἐκ
48001006 τοῦ τοῦ τοῦ
48001006 γένους γένους γένους
48001006 τῶν τῶν τῶν
48001006 υἱῶν υἱῶν υἱῶν
48001006 Ἰσραὴλ Ἰσραὴλ Ἰσραήλ
48001006 τῶν τῶν τῶν
48001006 ἀπὸ ἀπὸ ἀπό
48001006 τῆς τῆς τῆς
48001006 Ἰουδαίας Ἰουδαίας Ἰουδαίας
48001006 Δανιήλ, Δανιήλ Δανιήλ
48001006 Ἁνανίας, Ἁνανίας Ἁνανίας
48001006 Μισαήλ, Μισαήλ Μισαήλ
48001006 Ἀζαρίας. Ἀζαρίας Ἀζαρίας
48001007 καὶ καὶ καί
48001007 ἐπέθηκεν ἐπέθηκεν ἐπέθηκεν
48001007 αὐτοῖς αὐτοῖς αὐτοῖς
48001007 ὁ ὁ ὁ
48001007 ἀρχιευνοῦχος ἀρχιευνοῦχος ἀρχιευνοῦχος
48001007 ὀνόματα, ὀνόματα ὀνόματα
48001007 τῷ τῷ τῷ
48001007 μὲν μὲν μέν
48001007 Δανιὴλ Δανιὴλ Δανιήλ
48001007 Βαλτασάρ, Βαλτασάρ Βαλτασάρ
48001007 τῷ τῷ τῷ
48001007 δὲ δὲ δέ
48001007 Ἁνανίᾳ Ἁνανίᾳ Ἁνανίᾳ
48001007 Σεδράχ, Σεδράχ Σεδράχ
48001007 καὶ καὶ καί
48001007 τῷ τῷ τῷ
48001007 Μισαὴλ Μισαὴλ Μισαήλ
48001007 Μισάχ, Μισάχ Μισάχ
48001007 καὶ καὶ καί
48001007 τῷ τῷ τῷ
48001007 Ἀζαρίᾳ Ἀζαρίᾳ Ἀζαρίᾳ
48001007 Ἀβδεναγώ. Ἀβδεναγώ Ἀβδεναγώ
48001008 καὶ καὶ καί
48001008 ἐνεθυμήθη ἐνεθυμήθη ἐνεθυμήθη
48001008 Δανιὴλ Δανιὴλ Δανιήλ
48001008 ἐν ἐν ἐν
48001008 τῇ τῇ τῇ
48001008 καρδίᾳ καρδίᾳ καρδίᾳ
48001008 ὅπως ὅπως ὅπως
48001008 μὴ μὴ μή
48001008 ἀλισγηθῇ ἀλισγηθῇ ἀλισγηθῇ
48001008 ἐν ἐν ἐν
48001008 τῷ τῷ τῷ
48001008 δείπνῳ δείπνῳ δείπνῳ
48001008 τοῦ τοῦ τοῦ
48001008 βασιλέως βασιλέως βασιλέως
48001008 καὶ καὶ καί
48001008 ἐν ἐν ἐν
48001008 ᾧ ᾧ ᾧ
48001008 πίνει πίνει πίνει
48001008 οἴνῳ, οἴνῳ οἴνῳ
48001008 καὶ καὶ καί
48001008 ἠξίωσεν ἠξίωσεν ἠξίωσεν
48001008 τὸν τὸν τόν
48001008 ἀρχιευνοῦχον ἀρχιευνοῦχον ἀρχιευνοῦχον
48001008 ἵνα ἵνα ἵνα
48001008 μὴ μὴ μή
48001008 συμμολυνθῇ. συμμολυνθῇ συμμολυνθῇ
48001009 καὶ καὶ καί
48001009 ἔδωκε ἔδωκε ἔδωκε
48001009 Κύριος Κύριος Κύριος
48001009 τῷ τῷ τῷ
48001009 Δανιὴλ Δανιὴλ Δανιήλ
48001009 τιμὴν τιμὴν τιμήν
48001009 καὶ καὶ καί
48001009 χάριν χάριν χάριν
48001009 ἐναντίον ἐναντίον ἐναντίον
48001009 τοῦ τοῦ τοῦ
48001009 ἀρχιευνούχου. ἀρχιευνούχου ἀρχιευνούχου
48001010 καὶ καὶ καί
48001010 εἶπεν εἶπεν εἶπεν
48001010 ὁ ὁ ὁ
48001010 ἀρχιευνοῦχος ἀρχιευνοῦχος ἀρχιευνοῦχος
48001010 τῷ τῷ τῷ
48001010 Δανιήλ Δανιήλ Δανιήλ
48001010 Ἀγωνιῶ Ἀγωνιῶ Ἀγωνιῶ
48001010 τὸν τὸν τόν
48001010 κύριόν κύριόν κύριόν
48001010 μου μου μου
48001010 τὸν τὸν τόν
48001010 βασιλέα βασιλέα βασιλέα
48001010 τὸν τὸν τόν
48001010 ἐκτάξαντα ἐκτάξαντα ἐκτάξαντα
48001010 τὴν τὴν τήν
48001010 βρῶσιν βρῶσιν βρῶσιν
48001010 ὑμῶν ὑμῶν ὑμῶν
48001010 καὶ καὶ καί
48001010 τὴν τὴν τήν
48001010 πόσιν πόσιν πόσιν
48001010 ὑμῶν, ὑμῶν ὑμῶν
48001010 ἵνα ἵνα ἵνα
48001010 μὴ μὴ μή
48001010 ἴδῃ ἴδῃ ἴδῃ
48001010 τὰ τὰ τά
48001010 πρόσωπα πρόσωπα πρόσωπα
48001010 ὑμῶν ὑμῶν ὑμῶν
48001010 διατετραμμένα διατετραμμένα διατετραμμένα
48001010 καὶ καὶ καί
48001010 ἀσθενῆ ἀσθενῆ ἀσθενῆ
48001010 παρὰ παρὰ παρά
48001010 τοὺς τοὺς τούς
48001010 συντρεφομένους συντρεφομένους συντρεφομένους
48001010 ὑμῖν ὑμῖν ὑμῖν
48001010 νεανίας νεανίας νεανίας
48001010 τῶν τῶν τῶν
48001010 ἀλλογενῶν, ἀλλογενῶν ἀλλογενῶν
48001010 καὶ καὶ καί
48001010 κινδυνεύσω κινδυνεύσω κινδυνεύσω
48001010 τῷ τῷ τῷ
48001010 ἰδίῳ ἰδίῳ ἰδίῳ
48001010 τραχήλῳ. τραχήλῳ τραχήλῳ
48001011 καὶ καὶ καί
48001011 εἶπεν εἶπεν εἶπεν
48001011 Δανιὴλ Δανιὴλ Δανιήλ
48001011 Ἀβιεσδρὶ Ἀβιεσδρὶ Ἀβιεσδρί
48001011 τῷ τῷ τῷ
48001011 ἀναδειχθέντι ἀναδειχθέντι ἀναδειχθέντι
48001011 ἀρχιευνούχῳ ἀρχιευνούχῳ ἀρχιευνούχῳ
48001011 ἐπὶ ἐπὶ ἐπί
48001011 τὸν τὸν τόν
48001011 Δανιήλ, Δανιήλ Δανιήλ
48001011 Ἁνανίαν, Ἁνανίαν Ἁνανίαν
48001011 Μισαήλ, Μισαήλ Μισαήλ
48001011 Ἀζαρίαν Ἀζαρίαν Ἀζαρίαν
48001012 Πείρασον Πείρασον Πείρασον
48001012 δὴ δὴ δή
48001012 τοὺς τοὺς τούς
48001012 παῖδάς παῖδάς παῖδάς
48001012 σου σου σου
48001012 ἐφ’ ἐφ’ ἐπί
48001012 ἡμέρας ἡμέρας ἡμέρας
48001012 δέκα, δέκα δέκα
48001012 καὶ καὶ καί
48001012 δοθήτω δοθήτω δοθήτω
48001012 ἡμῖν ἡμῖν ἡμῖν
48001012 ἀπὸ ἀπὸ ἀπό
