48001007 Ἁνανίᾳ Ἁνανίᾳ
48001007 Σεδράχ, Σεδράχ
48001007 καὶ καὶ
48001007 τῷ τῷ
48001007 Μισαὴλ Μισαὴλ
48001007 Μισάχ, Μισάχ
48001007 καὶ καὶ
48001007 τῷ τῷ
48001007 Ἀζαρίᾳ Ἀζαρίᾳ
48001007 Ἀβδεναγώ. Ἀβδεναγώ
48001008 καὶ καὶ
48001008 ἐνεθυμήθη ἐνεθυμήθη
48001008 Δανιὴλ Δανιὴλ
48001008 ἐν ἐν
48001008 τῇ τῇ
48001008 καρδίᾳ καρδίᾳ
48001008 ὅπως ὅπως
48001008 μὴ μὴ
48001008 ἀλισγηθῇ ἀλισγηθῇ
48001008 ἐν ἐν
48001008 τῷ τῷ
48001008 δείπνῳ δείπνῳ
48001008 τοῦ τοῦ
48001008 βασιλέως βασιλέως
48001008 καὶ καὶ
48001008 ἐν ἐν
48001008 ᾧ ᾧ
48001008 πίνει πίνει
48001008 οἴνῳ, οἴνῳ
48001008 καὶ καὶ
48001008 ἠξίωσεν ἠξίωσεν
48001008 τὸν τὸν
48001008 ἀρχιευνοῦχον ἀρχιευνοῦχον
48001008 ἵνα ἵνα
48001008 μὴ μὴ
48001008 συμμολυνθῇ. συμμολυνθῇ
48001009 καὶ καὶ
48001009 ἔδωκε ἔδωκε
48001009 Κύριος Κύριος
48001009 τῷ τῷ
48001009 Δανιὴλ Δανιὴλ
48001009 τιμὴν τιμὴν
48001009 καὶ καὶ
48001009 χάριν χάριν
48001009 ἐναντίον ἐναντίον
48001009 τοῦ τοῦ
48001009 ἀρχιευνούχου. ἀρχιευνούχου
48001010 καὶ καὶ
48001010 εἶπεν εἶπεν
48001010 ὁ ὁ
48001010 ἀρχιευνοῦχος ἀρχιευνοῦχος
48001010 τῷ τῷ
48001010 Δανιήλ Δανιήλ
48001010 Ἀγωνιῶ Ἀγωνιῶ
48001010 τὸν τὸν
48001010 κύριόν κύριόν
48001010 μου μου
48001010 τὸν τὸν
48001010 βασιλέα βασιλέα
48001010 τὸν τὸν
48001010 ἐκτάξαντα ἐκτάξαντα
48001010 τὴν τὴν
48001010 βρῶσιν βρῶσιν
48001010 ὑμῶν ὑμῶν
48001010 καὶ καὶ
48001010 τὴν τὴν
48001010 πόσιν πόσιν
48001010 ὑμῶν, ὑμῶν
48001010 ἵνα ἵνα
48001010 μὴ μὴ
48001010 ἴδῃ ἴδῃ
48001010 τὰ τὰ
48001010 πρόσωπα πρόσωπα
48001010 ὑμῶν ὑμῶν
48001010 διατετραμμένα διατετραμμένα
48001010 καὶ καὶ
48001010 ἀσθενῆ ἀσθενῆ
48001010 παρὰ παρὰ
48001010 τοὺς τοὺς
48001010 συντρεφομένους συντρεφομένους
48001010 ὑμῖν ὑμῖν
48001010 νεανίας νεανίας
48001010 τῶν τῶν
48001010 ἀλλογενῶν, ἀλλογενῶν
48001010 καὶ καὶ
48001010 κινδυνεύσω κινδυνεύσω
48001010 τῷ τῷ
48001010 ἰδίῳ ἰδίῳ
48001010 τραχήλῳ. τραχήλῳ
48001011 καὶ καὶ
48001011 εἶπεν εἶπεν
48001011 Δανιὴλ Δανιὴλ
48001011 Ἀβιεσδρὶ Ἀβιεσδρὶ
48001011 τῷ τῷ
48001011 ἀναδειχθέντι ἀναδειχθέντι
48001011 ἀρχιευνούχῳ ἀρχιευνούχῳ
48001011 ἐπὶ ἐπὶ
48001011 τὸν τὸν
48001011 Δανιήλ, Δανιήλ
48001011 Ἁνανίαν, Ἁνανίαν
48001011 Μισαήλ, Μισαήλ
48001011 Ἀζαρίαν Ἀζαρίαν
48001012 Πείρασον Πείρασον
48001012 δὴ δὴ
48001012 τοὺς τοὺς
48001012 παῖδάς παῖδάς
48001012 σου σου
48001012 ἐφ’ ἐφ’
48001012 ἡμέρας ἡμέρας
48001012 δέκα, δέκα
48001012 καὶ καὶ
48001012 δοθήτω δοθήτω
48001012 ἡμῖν ἡμῖν
48001012 ἀπὸ ἀπὸ
48001012 τῶν τῶν
48001012 ὀσπρίων ὀσπρίων
48001012 τῆς τῆς
48001012 γῆς, γῆς
48001012 ὥστε ὥστε
48001012 κάπτειν κάπτειν
48001012 καὶ καὶ
48001012 ὑδροποτεῖν· ὑδροποτεῖν
48001013 καὶ καὶ
48001013 ἐὰν ἐὰν
48001013 φανῇ φανῇ
48001013 ἡ ἡ
48001013 ὄψις ὄψις
48001013 ἡμῶν ἡμῶν
48001013 διατετραμμένη διατετραμμένη
48001013 παρὰ παρὰ
48001013 τοὺς τοὺς
48001013 ἄλλους ἄλλους
48001013 νεανίσκους νεανίσκους
48001013 τοὺς τοὺς
48001013 ἐσθίοντας ἐσθίοντας
48001013 ἀπὸ ἀπὸ
48001013 τοῦ τοῦ
48001013 βασιλικοῦ βασιλικοῦ
48001013 δείπνου, δείπνου
48001013 καθὼς καθὼς
48001013 ἐὰν ἐὰν
48001013 θέλῃς θέλῃς
48001013 οὕτω οὕτω
48001013 χρῆσαι χρῆσαι
48001013 τοῖς τοῖς
48001013 παισί παισί
48001013 σου. σου
48001014 καὶ καὶ
48001014 ἐχρήσατο ἐχρήσατο
48001014 αὐτοῖς αὐτοῖς
48001014 τὸν τὸν
48001014 τρόπον τρόπον
48001014 τοῦτον, τοῦτον
48001014 καὶ καὶ
48001014 ἐπείρασεν ἐπείρασεν
48001014 αὐτοὺς αὐτοὺς
48001014 ἡμέρας ἡμέρας
48001014 δέκα. δέκα
48001015 μετὰ μετὰ
48001015 δὲ δὲ
48001015 τὰς τὰς
48001015 δέκα δέκα
48001015 ἡμέρας ἡμέρας
48001015 ἐφάνη ἐφάνη
48001015 ἡ ἡ
48001015 ὄψις ὄψις
48001015 αὐτῶν αὐτῶν
48001015 καλὴ καλὴ
48001015 καὶ καὶ
48001015 ἡ ἡ
48001015 ἕξις ἕξις
48001015 τοῦ τοῦ
48001015 σώματος σώματος
48001015 κρείσσων κρείσσων
48001015 τῶν τῶν
48001015 ἄλλων ἄλλων
48001015 νεανίσκων νεανίσκων
48001015 τῶν τῶν
48001015 ἐσθιόντων ἐσθιόντων
48001015 τὸ τὸ
48001015 βασιλικὸν βασιλικὸν
48001015 δεῖπνον. δεῖπνον
48001016 καὶ καὶ
48001016 ἦν ἦν
48001016 Ἀβιεσδρὶ Ἀβιεσδρὶ
48001016 ἀναιρούμενος ἀναιρούμενος
48001016 τὸ τὸ
48001016 δεῖπνον δεῖπνον
48001016 αὐτῶν αὐτῶν
48001016 καὶ καὶ
48001016 τὸν τὸν
48001016 οἶνον οἶνον
48001016 αὐτῶν, αὐτῶν
48001016 καὶ καὶ
48001016 ἀντεδίδου ἀντεδίδου
48001016 αὐτοῖς αὐτοῖς
48001016 ἀπὸ ἀπὸ
48001016 τῶν τῶν
48001016 ὀσπρίων. ὀσπρίων
48001017 καὶ καὶ
