09001008 Ἅννα· Ἅννα
09001008 καὶ καὶ
09001008 εἶπεν εἶπεν
09001008 αὐτῷ αὐτῷ
09001008 Ἰδοὺ Ἰδοὺ
09001008 ἐγώ, ἐγώ
09001008 κύριε· κύριε
09001008 καὶ καὶ
09001008 εἶπεν εἶπεν
09001008 αὐτῇ αὐτῇ
09001008 Τί Τί
09001008 ἔστιν ἔστιν
09001008 σοι σοι
09001008 ὅτι ὅτι
09001008 κλαίεις; κλαίεις
09001008 καὶ καὶ
09001008 ἵνα ἵνα
09001008 τί τί
09001008 οὐκ οὐκ
09001008 ἐσθίεις; ἐσθίεις
09001008 καὶ καὶ
09001008 ἵνα ἵνα
09001008 τί τί
09001008 τύπτει τύπτει
09001008 σε σε
09001008 ἡ ἡ
09001008 καρδία καρδία
09001008 σου; σου
09001008 οὐκ οὐκ
09001008 ἀγαθὸς ἀγαθὸς
09001008 ἐγώ ἐγώ
09001008 σοι σοι
09001008 ὑπὲρ ὑπὲρ
09001008 δέκα δέκα
09001008 τέκνα; τέκνα
09001009 Καὶ Καὶ
09001009 ἀνέστη ἀνέστη
09001009 μετὰ μετὰ
09001009 τὸ τὸ
09001009 φαγεῖν φαγεῖν
09001009 αὐτοὺς αὐτοὺς
09001009 ἐν ἐν
09001009 Σηλώ, Σηλώ
09001009 καὶ καὶ
09001009 κατέστη κατέστη
09001009 ἐνώπιον ἐνώπιον
09001009 Κυρίου· Κυρίου
09001009 καὶ καὶ
09001009 Ἠλεὶ Ἠλεὶ
09001009 ὁ ὁ
09001009 ἱερεὺς ἱερεὺς
09001009 ἐπὶ ἐπὶ
09001009 τοῦ τοῦ
09001009 δίφρου δίφρου
09001009 ἐπὶ ἐπὶ
09001009 τῶν τῶν
09001009 φλιῶν φλιῶν
09001009 ναοῦ ναοῦ
09001009 Κυρίου. Κυρίου
09001010 καὶ καὶ
09001010 αὐτὴ αὐτὴ
09001010 κατώδυνος κατώδυνος
09001010 ψυχῇ, ψυχῇ
09001010 καὶ καὶ
09001010 προσηύξατο προσηύξατο
09001010 πρὸς πρὸς
09001010 Κύριον Κύριον
09001010 λέγουσα λέγουσα
09001010 καὶ καὶ
09001010 ἔκλαυσεν· ἔκλαυσεν
09001011 καὶ καὶ
09001011 ηὔξατο ηὔξατο
09001011 εὐχὴν εὐχὴν
09001011 Κυρίῳ Κυρίῳ
09001011 λέγουσα λέγουσα
09001011 Ἀδωναὶ Ἀδωναὶ
09001011 Κύριε Κύριε
09001011 Ἐλωὲ Ἐλωὲ
09001011 σαβαώθ, σαβαώθ
09001011 ἐὰν ἐὰν
09001011 ἐπιβλέπων ἐπιβλέπων
09001011 ἐπιβλέψῃς ἐπιβλέψῃς
09001011 τὴν τὴν
09001011 ταπείνωσιν ταπείνωσιν
09001011 τῆς τῆς
09001011 δούλης δούλης
09001011 σου σου
09001011 καὶ καὶ
09001011 μνησθῇς μνησθῇς
09001011 μου μου
09001011 καὶ καὶ
09001011 δῷς δῷς
09001011 τῇ τῇ
09001011 δούλῃ δούλῃ
09001011 σου σου
09001011 σπέρμα σπέρμα
09001011 ἀνδρῶν, ἀνδρῶν
09001011 καὶ καὶ
09001011 δώσω δώσω
09001011 αὐτὸν αὐτὸν
09001011 ἐνώπιόν ἐνώπιόν
09001011 σου σου
09001011 δοτὸν δοτὸν
09001011 ἕως ἕως
09001011 ἡμέρας ἡμέρας
09001011 θανάτου θανάτου
09001011 αὐτοῦ· αὐτοῦ
09001011 καὶ καὶ
09001011 οἶνον οἶνον
09001011 καὶ καὶ
09001011 μέθυσμα μέθυσμα
09001011 οὐ οὐ
09001011 πίεται, πίεται
09001011 καὶ καὶ
09001011 σίδηρος σίδηρος
09001011 οὐκ οὐκ
09001011 ἀναβήσεται ἀναβήσεται
09001011 ἐπὶ ἐπὶ
09001011 τὴν τὴν
09001011 κεφαλὴν κεφαλὴν
09001011 αὐτοῦ. αὐτοῦ
09001012 καὶ καὶ
09001012 ἐγενήθη ἐγενήθη
09001012 ὅτε ὅτε
09001012 ἐπλήθυνεν ἐπλήθυνεν
09001012 προσευχομένη προσευχομένη
09001012 ἐνώπιον ἐνώπιον
09001012 Κυρίου, Κυρίου
09001012 καὶ καὶ
09001012 Ἠλεὶ Ἠλεὶ
09001012 ὁ ὁ
09001012 ἱερεὺς ἱερεὺς
09001012 ἐφύλαξεν ἐφύλαξεν
09001012 τὸ τὸ
09001012 στόμα στόμα
09001012 αὐτῆς. αὐτῆς
09001013 καὶ καὶ
09001013 αὐτὴ αὐτὴ
09001013 ἐλάλει ἐλάλει
09001013 ἐν ἐν
09001013 τῇ τῇ
09001013 καρδίᾳ καρδίᾳ
09001013 αὐτῆς, αὐτῆς
09001013 καὶ καὶ
09001013 τὰ τὰ
09001013 χείλη χείλη
09001013 αὐτῆς αὐτῆς
09001013 ἐκινεῖτο ἐκινεῖτο
09001013 καὶ καὶ
09001013 φωνὴ φωνὴ
09001013 αὐτῆς αὐτῆς
09001013 οὐκ οὐκ
09001013 ἠκούετο· ἠκούετο
09001013 καὶ καὶ
09001013 ἐλογίσατο ἐλογίσατο
09001013 αὐτὴν αὐτὴν
09001013 Ἠλεὶ Ἠλεὶ
09001013 εἰς εἰς
09001013 μεθύουσαν· μεθύουσαν
09001014 καὶ καὶ
09001014 εἶπεν εἶπεν
09001014 αὐτῇ αὐτῇ
09001014 τὸ τὸ
09001014 παιδάριον παιδάριον
09001014 Ἠλεί Ἠλεί
09001014 Ἕως Ἕως
09001014 πότε πότε
09001014 μεθυσθήσῃ; μεθυσθήσῃ
09001014 περιελοῦ περιελοῦ
09001014 τὸν τὸν
09001014 οἶνόν οἶνόν
09001014 σου σου
09001014 καὶ καὶ
09001014 πορεύου πορεύου
09001014 ἐκ ἐκ
09001014 προσώπου προσώπου
09001014 Κυρίου. Κυρίου
09001015 καὶ καὶ
09001015 ἀπεκρίθη ἀπεκρίθη
09001015 Ἅννα Ἅννα
09001015 καὶ καὶ
09001015 εἶπεν εἶπεν
09001015 Οὐχί, Οὐχί
09001015 κύριε· κύριε
09001015 γυνὴ γυνὴ
09001015 ἡ ἡ
09001015 σκληρὰ σκληρὰ
09001015 ἡμέρα ἡμέρα
09001015 ἐγώ ἐγώ
09001015 εἰμι, εἰμι
09001015 καὶ καὶ
09001015 οἶνον οἶνον
09001015 καὶ καὶ
09001015 μέθυσμα μέθυσμα
09001015 οὐ οὐ
09001015 πέπωκα, πέπωκα
09001015 καὶ καὶ
09001015 ἐκχέω ἐκχέω
09001015 τὴν τὴν
09001015 ψυχήν ψυχήν
09001015 μου μου
09001015 ἐνώπιον ἐνώπιον
09001015 Κυρίου· Κυρίου
09001016 μὴ μὴ
09001016 δῷς δῷς
09001016 τὴν τὴν
09001016 δούλην δούλην
09001016 σου σου
09001016 εἰς εἰς
09001016 θυγατέρα θυγατέρα
09001016 λοιμήν, λοιμήν
09001016 ὅτι ὅτι
09001016 ἐκ ἐκ
09001016 πλήθους πλήθους
09001016 ἀδολεσχίας ἀδολεσχίας
